miRNA Number_of_reads
hsa-mir-499b-5p 6
hsa-mir-4777-5p 16
hsa-mir-4517-5p 2559
hsa-mir-4665-5p 247
hsa-mir-324-loop 113
hsa-mir-154-5p 8
hsa-mir-196b-loop 6
hsa-mir-6810-3p 3
hsa-mir-1302-3-3p 1
hsa-let-7b-loop 24
hsa-mir-598-3p 67
hsa-mir-489-3p 141
hsa-mir-302c-3p 134
hsa-mir-3605-5p 91
hsa-mir-19b-1-3p 109421
hsa-mir-3163-5p 48
hsa-mir-6857-3p 12
hsa-mir-1302-3-5p 3
hsa-mir-100-5p 3333685
hsa-mir-365a-3p 12789
hsa-mir-3614-3p 70
hsa-mir-3193-loop 17
hsa-let-7b-5p 99495
hsa-mir-497-5p 1108
hsa-mir-29c-3p 12329
hsa-mir-548h-5-5p 2
hsa-mir-4479-3p 118
hsa-mir-655-3p 38
hsa-mir-627-loop 10
hsa-mir-134-5p 26
hsa-mir-493-5p 20
hsa-mir-3618-3p 11
hsa-mir-3162-5p 5
hsa-mir-511-5p 20
hsa-mir-6859-1-3p 9
hsa-mir-2467-3p 11
hsa-mir-548z-3p 22
hsa-mir-653-5p 291
hsa-mir-3179-2-5p 43
hsa-mir-4762-5p 105
hsa-mir-181c-5p 2821
hsa-mir-3654-3p 9
hsa-mir-144-3p 16
hsa-mir-3132-3p 457
hsa-mir-548ae-2-3p 10
hsa-mir-3130-2-3p 84
hsa-mir-10395-3p 85
hsa-mir-143-3p 7255
hsa-mir-645-5p 3
hsa-mir-4707-loop 60
hsa-mir-18b-5p 484
hsa-mir-4714-3p 10
hsa-mir-483-3p 2015
hsa-mir-196a-1-5p 10863
hsa-mir-4676-5p 78
hsa-mir-584-5p 25424
hsa-mir-3675-5p 3
hsa-mir-548u-3p 528
hsa-mir-27a-3p 266727
hsa-mir-1295a-3p 339
hsa-mir-210-5p 170
hsa-mir-5587-3p 22
hsa-mir-486-1-5p 857
hsa-mir-302a-loop 1
hsa-mir-4466-5p 52
hsa-mir-4697-3p 243
hsa-mir-10526-3p 4
hsa-mir-3202-2-3p 8
hsa-mir-192-5p 5169
hsa-mir-577-5p 3874
hsa-mir-135b-loop 235
hsa-mir-3909-3p 1075
hsa-mir-6866-5p 121
hsa-mir-301a-loop 2
hsa-mir-4763-5p 27
hsa-mir-567-3p 3
hsa-mir-3610-loop 13
hsa-mir-452-5p 5417
hsa-mir-378i-5p 8
hsa-mir-6781-3p 31
hsa-mir-3909-5p 43
hsa-mir-4690-3p 33
hsa-mir-320b-2-3p 2284
hsa-mir-548aq-loop 17
hsa-mir-1244-4-3p 1
hsa-mir-548b-3p 455
hsa-mir-588-3p 34
hsa-mir-423-5p 29297
hsa-mir-147b-5p 282
hsa-mir-222-loop 395
hsa-mir-6746-5p 3
hsa-mir-3146-5p 14
hsa-mir-542-5p 33
hsa-mir-124-3-5p 3
hsa-mir-1251-5p 1
hsa-mir-3617-5p 152
hsa-mir-6772-3p 33
hsa-mir-10396b-3p 19
hsa-mir-7-2-5p 481204
hsa-mir-1289-1-5p 8
hsa-mir-3166-5p 11
hsa-mir-4717-5p 6
hsa-mir-199a-1-5p 60
hsa-mir-4453-3p 5
hsa-mir-1255b-2-5p 32
hsa-mir-503-loop 8
hsa-mir-3179-1-3p 134
hsa-mir-146a-5p 111
hsa-mir-200a-5p 15605
hsa-mir-5583-1-3p 26
hsa-mir-6821-3p 6
hsa-mir-3153-5p 43
hsa-mir-1247-loop 5
hsa-mir-1909-5p 15
hsa-mir-4436b-2-5p 65
hsa-mir-4676-3p 331
hsa-mir-1181-loop 1
hsa-mir-5188-3p 9
hsa-mir-132-3p 7471
hsa-mir-323a-3p 98
hsa-mir-3180-2-3p 9
hsa-mir-141-loop 4668
hsa-mir-708-3p 145
hsa-mir-4797-5p 15
hsa-mir-4672-3p 46
hsa-mir-30b-5p 116143
hsa-mir-548al-3p 6
hsa-mir-3166-3p 8
hsa-mir-296-3p 125
hsa-mir-6795-3p 7
hsa-mir-1256-5p 124
hsa-mir-16-1-3p 1247
hsa-mir-6732-5p 1
hsa-mir-33a-loop 1924
hsa-mir-4762-3p 47
hsa-mir-9903-5p 237
hsa-mir-191-5p 851276
hsa-mir-548w-3p 2
hsa-mir-548ak-5p 28
hsa-mir-378h-5p 5
hsa-mir-34b-5p 33
hsa-mir-1301-5p 73
hsa-mir-6826-3p 3
hsa-mir-6791-3p 47
hsa-mir-671-3p 2621
hsa-mir-1468-3p 8
hsa-mir-6510-3p 13
hsa-mir-548v-5p 501
hsa-mir-5584-5p 2
hsa-mir-1233-1-3p 7
hsa-mir-6847-loop 3
hsa-mir-6735-3p 54
hsa-mir-4661-3p 104
hsa-mir-1296-5p 23098
hsa-mir-124-1-5p 2
hsa-mir-219a-1-3p 588
hsa-mir-133a-1-3p 4
hsa-mir-6851-3p 20
hsa-mir-378d-1-3p 554
hsa-mir-99a-5p 7526
hsa-mir-877-5p 6256
